SKU,In_TWG_Feed,In_WP_Feed,TWG_Stock,TWG_MSRP,TWG_DealerCost,Parsed_Size,Parsed_BoltPattern,Parsed_Offset,Parsed_CB,WP_PartNumber,WP_Brand,WP_Stock,Issue_Summary
134-7883MG,Yes,No,3,216.99,151.9,17X8.5,6-139.7,6,106,,,,Not in Master WP Feed (likely missing technical metadata)
141-2170M,Yes,No,10,364.99,255.5,20X10,8-170,-19,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-2181M,Yes,No,14,364.99,255.5,20X10,8-165.1,-19,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-2270M,Yes,No,33,405.99,284.2,20X12,8-170,-44,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-2281M,Yes,No,71,405.99,284.2,20X12,8-165.1,-44,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-2937M-12,Yes,No,3,347.99,243.6,20X9,6-135,-12,106,,,,Not in Master WP Feed (likely missing technical metadata)
141-2970B18,Yes,No,39,314.99,220.5,20X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-2970C,Yes,No,7,514.99,360.5,20X9,8-170,0,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-2970M,Yes,No,58,347.99,243.6,20X9,8-170,0,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-2970M18,Yes,No,9,347.99,243.6,20X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-2976M-12,Yes,No,0,371.99,260.4,20X9,8-165.1,-12,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-2981B18,Yes,No,4,314.99,220.5,20X9,8-165.1,18,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-2981C,Yes,No,20,514.99,360.5,20X9,8-165.1,0,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-2981M,Yes,No,16,347.99,243.6,20X9,8-165.1,0,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-2981M18,Yes,No,22,347.99,243.6,20X9,8-165.1,18,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-7970B18,Yes,No,20,249.99,175.0,17X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-7970M,Yes,No,73,305.99,214.2,17X9,8-170,-12,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-7970M18,Yes,No,1,305.99,214.2,17X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-7981B18,Yes,No,104,249.99,175.0,17X9,8-165.1,18,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-7981M,Yes,No,2,305.99,214.2,17X9,8-165.1,-12,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-7981M18,Yes,No,2,305.99,214.2,17X9,8-165.1,18,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
