handle,product_id,sku,pn_tried,angle,url,status,detail
305-nv-bahia-blue-gloss-black-lip-zmr30578580600,9413333811435,ZMR30578580600,query=MR305 Black pn=MR30578580500H,Img0001,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0001.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30578580600,9413333811435,ZMR30578580600,query=MR305 Black pn=MR30578580500H,Img0002,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0002.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30578580600,9413333811435,ZMR30578580600,query=MR305 Black pn=MR30578580500H,Img0003,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0003.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30578587600,9413333942507,ZMR30578587600,query=MR305 Black pn=MR30578580500H,Img0001,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0001.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30578587600,9413333942507,ZMR30578587600,query=MR305 Black pn=MR30578580500H,Img0002,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0002.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30578587600,9413333942507,ZMR30578587600,query=MR305 Black pn=MR30578580500H,Img0003,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0003.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30589080618,9413334204651,ZMR30589080618,query=MR305 Black pn=MR30578580500H,Img0001,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0001.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30589080618,9413334204651,ZMR30589080618,query=MR305 Black pn=MR30578580500H,Img0002,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0002.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30589080618,9413334204651,ZMR30589080618,query=MR305 Black pn=MR30578580500H,Img0003,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0003.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30589087618,9413334302955,ZMR30589087618,query=MR305 Black pn=MR30578580500H,Img0001,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0001.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30589087618,9413334302955,ZMR30589087618,query=MR305 Black pn=MR30578580500H,Img0002,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0002.png,OK,
305-nv-bahia-blue-gloss-black-lip-zmr30589087618,9413334302955,ZMR30589087618,query=MR305 Black pn=MR30578580500H,Img0003,https://wheels.autosyncstudio.com/png/Method/NV-HD_MR305_Matte_Black_8-lug_0003.png,OK,
315-gold-black-lip-mr31578516100,9413334827243,MR31578516100,pn=MR31578516100,Img0001,https://wheels.autosyncstudio.com/png/Method/MR315_Gold_Black-Street-Loc_6-lug_0001.png,OK,
315-gold-black-lip-mr31578516100,9413334827243,MR31578516100,pn=MR31578516100,Img0002,https://wheels.autosyncstudio.com/png/Method/MR315_Gold_Black-Street-Loc_6-lug_0002.png,OK,
315-gold-black-lip-mr31578516100,9413334827243,MR31578516100,pn=MR31578516100,Img0003,https://wheels.autosyncstudio.com/png/Method/MR315_Gold_Black-Street-Loc_6-lug_0003.png,OK,
315-gold-black-lip-mr31578560100,9413334991083,MR31578560100,pn=MR31578560100,Img0001,https://wheels.autosyncstudio.com/png/Method/MR315_Gold_Black-Street-Loc_6-lug_0001.png,OK,
