handle,product_id,status,url,detail
305-nv-bahia-blue-gloss-black-lip-zmr30578580600,9413333811435,FAIL_422,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/products\/method-mr305-wheel-6lug-ba"
305-nv-bahia-blue-gloss-black-lip-zmr30578587600,9413333942507,FAIL_422,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/products\/method-mr305-wheel-6lug-ba"
305-nv-bahia-blue-gloss-black-lip-zmr30589080618,9413334204651,FAIL_422,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/products\/method-mr305-wheel-6lug-ba"
305-nv-bahia-blue-gloss-black-lip-zmr30589087618,9413334302955,FAIL_422,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/products\/method-mr305-wheel-6lug-ba"
315-gold-black-lip-mr31578516100,9413334827243,FAIL_422,https://customwheelhousellc.box.com/shared/static/u6bec4c1rceabockxgzbbhedc93fmthc.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/u6bec4c1rceabockxgzbbhedc93fmthc.png fa"
315-gold-black-lip-mr31578560100,9413334991083,FAIL_422,https://customwheelhousellc.box.com/shared/static/u6bec4c1rceabockxgzbbhedc93fmthc.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/u6bec4c1rceabockxgzbbhedc93fmthc.png fa"
105-beadlock-gold-mr10579050138b,9413336170731,SKIP,,no image resolved
105-beadlock-goldthe-standard-machine-mr30179080312n,9413343314155,SKIP,,no image resolved
the-standard-machine-mr30189080318,9413343510763,FAIL_422,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p9f.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/2oxjdawg1qzam8g6hk20jongom1e9p9f.png fa"
the-standard-machine-mr30189087318,9413343609067,FAIL_422,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p9f.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/2oxjdawg1qzam8g6hk20jongom1e9p9f.png fa"
the-standard-machine-mr30189088318,9413343641835,FAIL_422,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p9f.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/2oxjdawg1qzam8g6hk20jongom1e9p9f.png fa"
the-standard-machine-mr30129080318,9413343805675,FAIL_422,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p9f.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/2oxjdawg1qzam8g6hk20jongom1e9p9f.png fa"
the-standard-machine-mr30129087318,9413343871211,FAIL_422,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p9f.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/2oxjdawg1qzam8g6hk20jongom1e9p9f.png fa"
701-bronze-mr70166568990,9413346132203,FAIL_422,https://customwheelhousellc.box.com/shared/static/nsuo1efq076r91ucurqa2zq2tm86tyzr.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/nsuo1efq076r91ucurqa2zq2tm86tyzr.png fa"
312-bronze-mr31289080918,9413349441771,FAIL_422,https://customwheelhousellc.box.com/shared/static/zg9mp3vhr4daukr6mjezm75y8yu498e2.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/zg9mp3vhr4daukr6mjezm75y8yu498e2.png fa"
mr704-titanium-mr70457051815,9413357043947,FAIL_422,https://customwheelhousellc.box.com/s/5nqrok0urn8ukxh8alulk0yz97j8yzhs,"{""errors"":{""image"":[""Could not download image: [\""\/s\/5nqrok0urn8ukxh8alulk0yz97j8yzhs is not a valid image file type.\""]""]}}"
mr704-titanium-mr70478550800,9413357175019,FAIL_422,https://customwheelhousellc.box.com/shared/static/5nqrok0urn8ukxh8alulk0yz97j8yzhs.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/5nqrok0urn8ukxh8alulk0yz97j8yzhs.png fa"
mr704-titanium-mr70478558800,9413357338859,FAIL_422,https://customwheelhousellc.box.com/shared/static/5nqrok0urn8ukxh8alulk0yz97j8yzhs.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/5nqrok0urn8ukxh8alulk0yz97j8yzhs.png fa"
316-gloss-titanium-mr31678062825,9413357830379,FAIL_422,https://customwheelhousellc.box.com/s/bys9dc2w1io8zm3apjglic2e2uaoh3ng,"{""errors"":{""image"":[""Could not download image: [\""\/s\/bys9dc2w1io8zm3apjglic2e2uaoh3ng is not a valid image file type.\""]""]}}"
316-gloss-titanium-mr31678016825,9413357895915,FAIL_422,https://customwheelhousellc.box.com/s/bys9dc2w1io8zm3apjglic2e2uaoh3ng,"{""errors"":{""image"":[""Could not download image: [\""\/s\/bys9dc2w1io8zm3apjglic2e2uaoh3ng is not a valid image file type.\""]""]}}"
316-gloss-titanium-mr31678060825,9413358026987,FAIL_422,https://customwheelhousellc.box.com/shared/static/bys9dc2w1io8zm3apjglic2e2uaoh3ng.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/bys9dc2w1io8zm3apjglic2e2uaoh3ng.png fa"
316-gloss-titanium-mr31678516800,9413358256363,FAIL_422,https://customwheelhousellc.box.com/shared/static/bys9dc2w1io8zm3apjglic2e2uaoh3ng.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/bys9dc2w1io8zm3apjglic2e2uaoh3ng.png fa"
316-gloss-titanium-mr31678560800,9413358321899,FAIL_422,https://customwheelhousellc.box.com/shared/static/bys9dc2w1io8zm3apjglic2e2uaoh3ng.png,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/customwheelhousellc.box.com\/shared\/static\/bys9dc2w1io8zm3apjglic2e2uaoh3ng.png fa"
