handle,product_id,position,strategy,status,detail
305-nv-bahia-blue-gloss-black-lip-zmr30578580600,9413333811435,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30578580600,9413333811435,2,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30578587600,9413333942507,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30578587600,9413333942507,2,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30589080618,9413334204651,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30589080618,9413334204651,2,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30589087618,9413334302955,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30589087618,9413334302955,2,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
315-gold-black-lip-mr31578516100,9413334827243,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
315-gold-black-lip-mr31578516100,9413334827243,2,master_box,OK,https://customwheelhousellc.box.com/shared/static/u6bec4c1rceabockxgzbbhedc93fmt
315-gold-black-lip-mr31578516100,9413334827243,3,master_box,OK,https://customwheelhousellc.box.com/shared/static/bwxfz9knclvd6rx1cevviwjuuqdpgx
315-gold-black-lip-mr31578560100,9413334991083,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
315-gold-black-lip-mr31578560100,9413334991083,2,master_box,OK,https://customwheelhousellc.box.com/shared/static/u6bec4c1rceabockxgzbbhedc93fmt
315-gold-black-lip-mr31578560100,9413334991083,3,master_box,OK,https://customwheelhousellc.box.com/shared/static/bwxfz9knclvd6rx1cevviwjuuqdpgx
105-beadlock-gold-mr10579050138b,9413336170731,0,NONE,SKIP,no sources
105-beadlock-goldthe-standard-machine-mr30179080312n,9413343314155,0,NONE,SKIP,no sources
the-standard-machine-mr30189080318,9413343510763,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30189080318,9413343510763,2,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
the-standard-machine-mr30189080318,9413343510763,3,master_box,OK,https://customwheelhousellc.box.com/shared/static/q5mvc67xabwctoi0qwvdd1fjdwgyzy
the-standard-machine-mr30189087318,9413343609067,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30189087318,9413343609067,2,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
the-standard-machine-mr30189087318,9413343609067,3,master_box,OK,https://customwheelhousellc.box.com/shared/static/q5mvc67xabwctoi0qwvdd1fjdwgyzy
the-standard-machine-mr30189088318,9413343641835,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30189088318,9413343641835,2,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
the-standard-machine-mr30189088318,9413343641835,3,master_box,OK,https://customwheelhousellc.box.com/shared/static/q5mvc67xabwctoi0qwvdd1fjdwgyzy
the-standard-machine-mr30129080318,9413343805675,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30129080318,9413343805675,2,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
the-standard-machine-mr30129080318,9413343805675,3,master_box,OK,https://customwheelhousellc.box.com/shared/static/q5mvc67xabwctoi0qwvdd1fjdwgyzy
the-standard-machine-mr30129087318,9413343871211,1,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30129087318,9413343871211,2,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
the-standard-machine-mr30129087318,9413343871211,3,master_box,OK,https://customwheelhousellc.box.com/shared/static/q5mvc67xabwctoi0qwvdd1fjdwgyzy
