Product ID,Variant ID,Product metafield value at custom.wheel_diameter,Product metafield value at custom.wheel_width,Product metafield value at custom.hub,Product metafield value at global.size,Product metafield value at global.bolt_pattern,Product metafield value at global.offset,Product metafield value at custom.bolt_pattern_2,Product handle,Product title,Product description,Product description without HTML,Product meta title,Product meta description,Product online store URL (Shopify domain),Product online store URL (custom domain),Product tags,Product taxonomy category id,Product taxonomy category name,Product type,Product vendor,Product template suffix,Product status,Product collections,Product created time,Product published time,Product option 1 name,Variant option 1 value,Product option 2 name,Variant option 2 value,Product option 3 name,Variant option 3 value,Variant price,Variant compared price,Variant cost,Variant SKU,Variant Barcode,Variant image,Variant weight,Variant weight unit,Variant taxable,Variant tax code,Variant country Code Of Origin,Variant harmonized system code,Variant inventory Item ID,Variant inventory management (tracking),Variant inventory policy,Variant requires shipping
8.10313E+12,4.41133E+13,,,,,,,,701-bahia-blue,701 |  Bahia Blue,"<div>
<p><span style=""font-weight: 400;"">The 701 </span><a href=""https://www.methodracewheels.com/pages/bead-grip?_pos=1&amp;_sid=847b565ed&amp;_ss=r""><span style=""font-weight: 400;"">Bead Grip®</span></a><span style=""font-weight: 400;""> wheel was designed to be the perfect wheel for overland enthusiasts. The </span><a href=""https://www.methodracewheels.com/pages/bead-grip?_pos=1&amp;_sid=847b565ed&amp;_ss=r""><span style=""font-weight: 400;"">Bead Grip®</span></a><span style=""font-weight: 400;""> technology allows deflation of tires down to pressures that previously would have required beadlock wheels to make sure tires didn’t debead. It’s advantageous to reduce tire inflation pressure while off-roading to increase a tire’s contact patch surface area for better traction on loose surfaces as well as improve ride comfort by effectively reducing the spring rate of the tire. The valve was strategically placed for extra protection in harsh riding environments.<br><br></span></p>
<p><span style=""font-weight: 400;"">Our unique Bahia Blue color, inspired by the coastline of the Baja peninsula, is sure to transform your ride into a show stopper.</span></p>
</div>","The 701 Bead Grip® wheel was designed to be the perfect wheel for overland enthusiasts. The Bead Grip® technology allows deflation of tires down to pressures that previously would have required beadlock wheels to make sure tires didn’t debead. It’s advantageous to reduce tire inflation pressure while off-roading to increase a tire’s contact patch surface area for better traction on loose surfaces as well as improve ride comfort by effectively reducing the spring rate of the tire. The valve was strategically placed for extra protection in harsh riding environments. Our unique Bahia Blue color, inspired by the coastline of the Baja peninsula, is sure to transform your ride into a show stopper.",,,https://rines-and-wheels.myshopify.com/products/701-bahia-blue,https://www.wheelsbelowretail.com/products/701-bahia-blue,"#laborday2022INFfilter, 15-diameter, 16-diameter, 17-diameter, 18-diameter, 2022SENDIT, 2023labordaywheels, 5x100-bolt-pattern, 5x108-bolt-pattern, 5x120-bolt-pattern, 5x150-bolt-pattern, 5x5-bolt-pattern, 5x5.5-bolt-pattern, 6.5-width, 6x135-bolt-pattern, 6x180-bolt-pattern, 6x5.5-bolt-pattern, 7-width, 7.5-width, 8-width, 8.5-width, 8x6.5-bolt-pattern, 9-width, Bahia Blue, BLUE, bolt-pattern-5x100, bolt-pattern-5x108, bolt-pattern-5x120, bolt-pattern-5x150, bolt-pattern-5x5, bolt-pattern-5x5.5, bolt-pattern-6x135, bolt-pattern-6x180, bolt-pattern-6x5.5, bolt-pattern-8x6.5, Discontinued, FINALPRICE, Method, Method Offroad Wheels, Method Race Wheels, Method Wheels, Methods, MR701, mrw, negative-12, Non Beadlock, NOTCLOSEOUTFILTER, Offroad Wheels, positive-0, positive-15, positive-18, positive-25, positive-30, positive-90, rim, rims, SORT-AUTO, SORT-BLUE, spo-default, spo-disabled, transit, transit van, wheel, WHEELONLYSALEFILTER, Wheels",gid://shopify/TaxonomyCategory/vp-1-4-20-1-1,Automotive Rims & Wheels,Bead Grip Wheel,METHOD RACE WHEELS,optionB,DRAFT,All Custom Wheels; ALL PRODUCTS; SHOP ALL PRODUCTS; Out Stock; Wheels; Newest Products; IN STOCK INVENTORY; Best selling products (DO NOT DELETE); All-products; Result; Method Race Wheels; LAST CHANCE OUTLET SALE 2025; Discontinued Items,2023-09-15T12:12:46Z,,Size | Bolt Pattern | Offset/Spacing,"15x7 | 5x100 | 15/4.6""",,,,,272,,167.3,MR70157051615,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-5lug-bahia-blue-17x8-5-1000_V2.jpg?v=1694802903,19.55,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806406891,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"16x6.5 | 6x180 | 90/7.29"" | Transit",,,,,289,,202.3,MR70166568690,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-6lug-blue-17x8-5-1000_V2.jpg?v=1694802899,24.03,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806439659,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"16x8 | 6x5.5 | 0/4.5""",,,,,345,,209.3,MR70168060600,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-6lug-blue-17x8-5-1000_V2.jpg?v=1694802899,26.46,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806472427,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 5x5 | 0/4.75""",,,,,319,,223.3,MR70178550600,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-5lug-bahia-blue-17x8-5-1000_V2.jpg?v=1694802903,31.69,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806505195,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 6x135 | 0/4.75""",,,,,319,,223.3,MR70178516600,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-6lug-blue-17x8-5-1000_V2.jpg?v=1694802899,31.82,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806537963,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 6x5.5 | 0/4.75""",,,,,366,,256.2,MR70178560600,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-6lug-blue-17x8-5-1000_V2.jpg?v=1694802899,30.64,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806570731,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x9 | 5x5 | -12/4.6""",,,,,387,,270.9,MR70179050612N,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-5lug-bahia-blue-17x8-5-1000_V2.jpg?v=1694802903,32.78,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806603499,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x9 | 6x5.5 | -12/4.6""",,,,,387,,270.9,MR70179060612N,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-6lug-blue-17x8-5-1000_V2.jpg?v=1694802899,31.97,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806636267,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"18x9 | 5x150 | 25/6""",,,,,379,,265.3,MR70189058625,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-5lug-bahia-blue-17x8-5-1000_V2.jpg?v=1694802903,31.27,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806669035,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"18x9 | 6x5.5 | 18/5.8""",,,,,379,,265.3,MR70189060618,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr701-wheel-6lug-blue-17x8-5-1000_V2.jpg?v=1694802899,32.63,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806701803,tracked,DENY,Yes
