"Brand","Part Number","Model","Category","Price health - Low","Price health - High","Your price","MAP","National Average"
"Rovelo","9630929K","Instinct AS01","Touring","","","$77.22","",""
"Toyo","196340","Extensa HP II","Performance","$4.04","$0.00","$121.97","$124.74","$117.93"
"Road One","RL1344","Cavalry A/S","Touring","","","$74.47","",""
"Michelin","07259","Defender2","All Season","$5.74","$0.00","$174.07","$169.99","$168.33"
"Zenna","1951326550","Sport Line","Performance","","","$75.14","",""
"Kenda","217018","Kenetica Touring A/S (KR217)","Touring","$7.74","$0.00","$85.82","","$78.08"
"Mastercraft","174014002","Avenger M8","Performance","","","$87.00","",""
"Sumitomo","ASP41","HTR A/S P03","Performance","$0.00","$12.68","$115.23","","$127.91"
"Sailun","5541044","Atrezzo SVA1","Performance","$0.00","$22.49","$79.50","","$101.99"
"Supermax","PCR-1601-SX","TR-1","Touring","","","$67.81","",""
"Waterfall","1432TR035","Eco Dynamic","Performance","","","$68.72","",""
"ZEETEX","1200036577","ZT3000","All Season","","","$70.80","",""
"ZEETEX","1200034403","HP1000","Performance","","","$71.00","",""
"Atlas Tires","221023555","Force HP","Performance","","","$71.88","",""
"Armstrong","1200043083","Blu-Trac PC","All Season","","","$72.39","",""
"Lexani","LXST2031655010","LXTR-203","All Season","$14.22","$0.00","$74.22","","$60.00"
"Westlake","24000124","Foray RP218","Touring","$17.37","$0.00","$78.37","","$61.00"
"Gladiator","1801006550","X Comp H/P AS1","Performance","$9.70","$0.00","$78.76","","$69.06"
"Ironman","98858","iMOVE PT PLUS","Touring","$13.81","$0.00","$79.00","","$65.19"
"Ironman","91064","RB-12","Touring","$0.00","$10.50","$79.00","","$89.50"
"Ironman","98391","iMOVE Gen3 AS","Performance","$8.99","$0.00","$80.00","$68.00","$71.01"
"Ironman","93000","iMOVE Gen2 AS","Performance","$0.00","$5.91","$80.00","$70.00","$85.91"
"Road One","RL1370","Cavalry UHP","Performance Touring","","","$80.93","",""
"Mastertrack","MASTPAS009","M-Trac Tour","Touring","","","$81.00","",""
"Advanta","ER800190","ER-800","Touring","$0.00","$3.99","$81.00","","$84.99"
"Advanta","1951346550","HPZ-02","Performance","$10.93","$0.00","$81.00","","$70.07"
"Sailun","9630374","Atrezzo SH408","Performance Touring","$3.09","$0.00","$82.11","","$79.02"
"CrossWind","CTR1742LL","HP010 Plus","Performance","","","$85.50","",""
"National","NLR42","Touring A/S","Touring","$0.00","$9.88","$87.98","","$97.86"
"Mastercraft","167288001","Stratus AS","Touring","$0.00","$5.79","$88.99","","$94.78"
"Hercules","98697","Roadtour Connect AS","Touring","$12.89","$0.00","$89.00","","$76.11"
"Starfire","162194001","Solarus AS","Touring","$15.58","$0.00","$89.33","","$73.75"
"Sailun","1603470","Atrezzo 4S","All Weather","","","$92.93","",""
"Sailun","1600779","Atrezzo SVA2","Performance","$6.14","$0.00","$93.73","","$87.59"
"Sailun","S5543827","Inspire","Touring","","","$98.56","",""
"Maxxis","TP00111300","Bravo HP-M3","Highway Terrain","$3.41","$0.00","$99.47","","$96.06"
"GT Radial","100UA3537","MaxTour LX","Touring","$10.41","$0.00","$102.48","","$92.07"
"Laufenn","1016759","G FIT AS (LH41)","Performance Touring","$9.10","$0.00","$103.96","","$94.86"
"GT Radial","AS032","Champiro UHP AS","Performance","$0.00","$5.89","$104.43","","$110.32"
"Hercules","98564","Raptis R-T6","Performance","","","$106.33","",""
"Mastercraft","167092004","SRT Touring","Touring","$7.82","$0.00","$106.99","","$99.17"
"Nexen","15710","N'priz AH8","Touring","","","$107.86","",""
"Falken","28953483","ZIEX ZE950 A/S","Performance","$5.48","$0.00","$110.48","","$105.00"
"Mastercraft","167161006","Courser Quest","All Season","$12.00","$0.00","$110.99","","$98.99"
"Kumho","2270282","Solus TA31","Touring","$0.66","$0.00","$111.00","$125.19","$110.34"
"Nexen","15148","N'priz AH5","Touring","","","$111.07","",""
"Hercules","04541","Roadtour Connect PCV","Touring","$10.94","$0.00","$112.00","","$101.06"
"BFGoodrich","90759","Advantage Control","All Season","$0.00","$28.71","$113.00","$141.99","$141.71"
"Laufenn","1024182","S FIT AS (LH01)","Performance","$43.30","$0.00","$113.30","","$70.00"
"Hankook","1014358","Ventus V2 concept2","Performance","$11.74","$0.00","$114.65","$110.99","$102.91"
"Hercules","02400","Avalanche RT","Winter","$11.93","$0.00","$117.00","","$105.07"
"Hankook","1021503","Kinergy ST","Touring","$6.56","$0.00","$118.05","$114.99","$111.49"
"Sumitomo","EDG41","Ice Edge","Winter","","","$118.72","",""
"Nexen","14194","N'priz AH8","Touring","","","$118.81","",""
"Kelly","356606107","Edge Touring Plus","Touring","$7.31","$0.00","$118.89","","$111.58"
"Nexen","12844","N'Priz S","Touring","","","$120.00","",""
"Falken","28962483","ZIEX ZE960 A/S","Performance","$20.19","$0.00","$120.10","$117.00","$99.91"
"Sumitomo","ENL41","HTR Enhance LX2","Performance Touring","$0.00","$6.59","$120.33","","$126.92"
"Kumho","2330492","Solus TA51a","Touring","$23.48","$0.00","$120.34","$120.91","$96.86"
"Cooper","166286008","Endeavor","All Season","$2.45","$0.00","$120.44","$122.99","$117.99"
"Falken","28294483","Sincera SN250 A/S","Touring","$16.42","$0.00","$120.93","$131.00","$104.51"
"Firestone","013749","All Season","Touring","$0.00","$1.24","$121.00","$119.99","$122.24"
"Goodyear","407781374","Assurance All-Season","All Season","$0.00","$5.00","$121.99","$133.99","$126.99"
"Toyo","147050","Extensa A/S II","Touring","$0.00","$5.99","$122.00","$127.22","$127.99"
"Kumho","2325822","Solus TA51a","Touring","$23.13","$0.00","$123.39","$120.91","$100.26"
"Kumho","2338063","Solus 4S HA32","All Weather","$14.55","$0.00","$123.82","$137.80","$109.27"
"Falken","28291483","Sincera SN250 A/S","Touring","$30.21","$0.00","$124.06","$131.00","$93.85"
"Goodyear","109907366","Eagle Sport All-Season","Performance","$0.00","$11.21","$125.00","","$136.21"
"Goodyear","732674500","Eagle RS-A","Performance","$0.00","$2.43","$125.99","","$128.42"
"Uniroyal","01318","Tiger Paw Touring A/S","Touring","$3.46","$0.00","$126.74","","$123.28"
"Kumho","2254422","Solus TA31","Touring","$23.41","$0.00","$127.38","$125.19","$103.97"
"Toyo","142590","Observe GSi-6 HP (Pass-Sport Coupes & Sedans)","Winter","$4.08","$0.00","$127.61","","$123.53"
"Uniroyal","01571","Tiger Paw Touring A/S","Touring","$5.14","$0.00","$127.95","","$122.81"
"Nexen","15194","Aria AH7","Touring","","","$128.08","",""
"Sailun","9630802","ERange/EV Eco Sphere","Performance","$5.29","$0.00","$128.55","","$123.26"
"General","15576170000","AltiMAX RT45","Touring","$11.98","$0.00","$128.75","$123.99","$116.77"
"Pirelli","4076900","P4 Persist AS Plus","All Season","$2.79","$0.00","$129.00","","$126.21"
"Cooper","166435021","ProControl","Touring","$0.00","$3.15","$129.68","$138.99","$132.83"
"General","15576160000","AltiMAX RT45","Touring","$12.96","$0.00","$129.73","$123.99","$116.77"
"Uniroyal","76489","Power Paw A/S","Performance","$0.25","$0.00","$130.07","","$129.82"
"Kumho","2373733","Ecsta Sport A/S","Performance","$19.81","$0.00","$130.08","$124.80","$110.27"
"Nokian","T431354","ONE","All Season","$2.91","$0.00","$130.56","","$127.65"
"General","15577300000","AltiMAX RT45","Touring","$8.10","$0.00","$130.60","$124.99","$122.50"
"Falken","59001080","ZE310A","Performance","","","$130.61","",""
"Bridgestone","009875","Turanza ER300I RFT","Touring","$0.00","$88.80","$131.86","","$220.66"
"Yokohama","110131814","AVID Touring-S","Touring","$12.83","$0.00","$132.27","","$119.44"
"Kumho","2303003","Solus TA31","Touring","$34.92","$0.00","$132.92","$143.10","$98.00"
"Nexen","11074NXK","Classe Premiere CP662","Performance","","","$133.30","$138.00",""
"Nokian","T433018","Surpass AS01","Performance","$15.18","$0.00","$134.18","","$119.00"
"Yokohama","110132711","AVID Ascend GT","Touring","$7.73","$0.00","$134.28","$147.99","$126.55"
"Vredestein","AP20555016VHTRA00","Hitrac All Season","Touring","","","$134.35","",""
"Yokohama","110132809","AVID Ascend LX","All Season","$8.84","$0.00","$135.04","$151.99","$126.20"
"Cooper","166435028","TractionCommand","All Weather","$0.00","$2.60","$135.42","$141.99","$138.02"
